date,headline,abstract,snippet,lead_paragraph,web_url,section,subsection,byline,document_type,news_desk,type_of_material,word_count,source,keywords
2016-12-07T00:00:00Z,Double Chocolate Chip Cookies,"With plenty of cocoa powder and big wells of dark chocolate, these double chocolate cookies are so fudgy that a tall glass of cold milk is not only delicious, but essential — especially when they are served hot from the oven. Just like David Leite’s impeccable chocolate chip cookies, they bake up even better after the dough has had time to rest in the fridge. The extralong chill gives the dough a chance to hydrate fully and firm up, which yields more uniformly baked cookies, with the perfect amount of crunch around the edges and chew in the center. Thin chocolate discs or wafers, which are widely available, are used here. They melt into lovely chocolate layers as the cookies bake. But if you can’t find them, chocolate chips make a fine substitute; there's no need to adjust the baking time. (Watch the video of 
<a href=""https://cooking.nytimes.com/recipes/1018459-double-chocolate-chip-cookies/"">Samantha Seneviratne making Double Chocolate Chip Cookies here</a>.)",,,https://cooking.nytimes.com/recipes/1018459-double-chocolate-chip-cookies,,,Samantha Seneviratne,recipe,,Recipe,0,,"bittersweet chocolate, chocolate chip cookie, dessert, dutch-processed cocoa powder, semisweet chocolate chip, snack"
2016-09-28T00:00:00Z,Chicken Congee,"Congee is regarded as the ultimate Chinese comfort food, according to the author Fuchsia Dunlop. This recipe for ji zhou or chicken congee, from her book on Jiangnan regional cuisine, is dead simple and satisfying. Serve it with <a href=""http://cooking.nytimes.com/recipes/1018094-hainanese-chicken-with-rice"">chicken</a> and soy sauce for a late-night Shanghai-style snack.",,,https://cooking.nytimes.com/recipes/1018321-chicken-congee,,,Sara Bonisteel,recipe,,Recipe,0,,"boil, breakfast, chicken stock, chinese, dinner, lunar new year, main course, porridge, side dish, simmer, snack, sushi rice"
2017-01-22T00:00:00Z,Turmeric Tea,"Turmeric milk is a simple infusion of warm milk with turmeric that exists with countless variations in homes across India, where it's known as haldi doodh. The drink might include black pepper, and a touch of jaggery or honey to sweeten it. This hybridized version lies somewhere closer to a masala chai with a dose of black tea and a spoon of fresh grated ginger. The recipe makes two dainty portions, or one robust one, but it's in the spirit of things to play with the ratios to suit your own taste, to use your sweetener of choice and even to replace the milk entirely with almond or cashew milk. Cooking with powdered turmeric is less messy than with fresh, and won't require gloves to keep your fingers from staining. ",,,https://cooking.nytimes.com/recipes/1018548-turmeric-tea,,,Tejal Rao,recipe,,Recipe,0,,"black tea, cardamom pods, cinnamon stick, ginger, non-alcoholic drinks, turmeric"
2017-02-13T00:00:00Z,Beef Bourguignon,"Like coq au vin, its sister dish from the Burgundy region of France, beef Bourguignon is a stew of meat slowly simmered in hearty red wine along with pearl onions, mushrooms and crisp, cubed bacon. Use a good wine here, something simple but drinkable. It makes all the difference in the finished dish. As with all beef stews, this one is best made a day or two ahead; don’t sauté the mushrooms and onions until just before serving. This recipe is part of <a href=""https://cooking.nytimes.com/68861692-nyt-cooking/4595005-the-new-essentials-of-french-cooking"">The New Essentials of French Cooking</a>, a guide to definitive dishes every modern cook should master.",,,https://cooking.nytimes.com/recipes/1018528-beef-bourguignon,,,Melissa Clark,recipe,,Recipe,0,,"bacon, beef stew meat, brown, cremini, dinner, dutch oven, french, great leftovers, main course, marinate, pancetta, pearl onion, red wine, sear, stew"
2018-10-31T18:58:42Z,Alex Honnold and the Making of the Oscar-Winning Film ‘Free Solo’,Alex Honnold took a huge risk when he made his free solo climb of El Capitan. Did making a film about it make it even riskier?,Alex Honnold took a huge risk when he made his free solo climb of El Capitan. Did making a film about it make it even riskier?,,https://www.nytimes.com/2018/10/31/opinion/free-solo-alex-honnold-el-capitan.html,Opinion,,By Elizabeth Chai Vasarhelyi and Jimmy Chin,article,National,News,478,The New York Times,"Rock Climbing, Yosemite National Park (Calif), Honnold, Alex"
2018-03-07T00:00:00Z,Basic Stovetop Rice,"Here’s how to make plain rice in the simplest way, and once you get the hang of all the steps (rinsing, simmering, fluffing and resting) you can make infinite, delicious variations by adapting one or more of these steps.",,,https://cooking.nytimes.com/recipes/1019204-basic-stovetop-rice,,,Tejal Rao,recipe,,Recipe,0,,"boil, cooking 101, five ingredient, gluten-free, grains and rice, rice, side dish, stovetop, vegan, vegetarian"
2019-02-17T00:00:00Z,Whatever You’ve Got Fried Rice,"<em>This is a no-recipe recipe, a recipe without an ingredients list or steps. It invites you to improvise in the kitchen.</em>
Start with some cooked rice, white or brown, a cup or so per person, made fresh or pulled from the freezer where you keep some in a plastic bag against the promise of just such an exercise. (The chill helps separate the grains.) Also helpful, also in the freezer: bags of diced organic vegetables you can get at the market (the mixed corn, carrots and peas number, for instance). For the rest: meat if you eat meat, a couple eggs, lots of chopped garlic and ginger, some scallions. You can make a sauce from soy sauce and sesame oil (about a 3:1 ratio) and fire it up with a teaspoon or two of gochujang. You’ll need a little less than a quarter cup of sauce to feed four.
To the wok! Crank the heat, add a little neutral oil, then toss in your meat. I like chopped brisket from the barbecue joint, or pastrami from the deli, or ground pork, or bacon, or leftover roast chicken — whatever you decide on, you’ll need far less than you think. After the meat crisps, fish it from the pan and add about a tablespoon each of minced garlic and ginger, a handful of chopped scallions. Stir-fry for 30 seconds or so, then add those frozen vegetables. More stir-frying. Return the meat to the wok. Stir-fry. Clear a space in the center of the wok and add the eggs, cooking them quickly to softness. Throw in the sauce, then the rice, and mix it all together until it’s steaming hot. Finish with more chopped scallions.
<em>Sam Sifton features a no-recipe recipe every Wednesday in his What to Cook newsletter. <a href=""https://www.nytimes.com/newsletters/cooking"">Sign up to receive it.</a> You can find more no-recipe recipes <a href=""https://cooking.nytimes.com/68861692-nyt-cooking/14326423-no-recipe-recipes"">here</a>.</em>",,,https://cooking.nytimes.com/recipes/1020016-whatever-youve-got-fried-rice,,,Sam Sifton,recipe,,Recipe,0,,"cooking 101, dinner, egg, frozen vegetables, gochujang, grains and rice, lunch, main course, no-recipe, not-shoppable-ic, rice, saute, weeknight"
2019-08-22T20:48:15Z,Teach Writing With The New York Times: A Free School-Year Curriculum in 7 Units,"A flexible program for middle and high schools based on the real-world writing found in newspapers, from editorials and reviews to personal narratives and analysis essays.","A flexible program for middle and high schools based on the real-world writing found in newspapers, from editorials and reviews to personal narratives and analysis essays.",,https://www.nytimes.com/2019/08/22/learning/free-writing-curriculum-with-nyt.html,The Learning Network,,By The Learning Network,article,Learning,News,1696,The New York Times,Writing and Writers
2019-10-09T00:00:00Z,Coconut Milk Chicken Adobo,"When I left home, adobo was a dish I could cook off the top of my head. The name was bestowed by Spanish colonizers, referring to the use of vinegar and seasonings to preserve meat, but the stew existed long before their arrival. It is always made with vinegar, and often soy sauce, but there are as many adobo recipes as there are Filipino cooks. In this version, coconut — present in three forms: milk, oil and vinegar — brings silkiness and a hint of elegance. Every ingredient announces itself; none are shy. The braised whole peppercorns pop in your mouth.",,,https://cooking.nytimes.com/recipes/1020494-coconut-milk-chicken-adobo,,,Angela Dimayuga,recipe,,Recipe,0,,"chicken drumstick, coconut milk, coconut vinegar, cooking 101, dinner, easy, filipino, great leftovers, main course, one pot, poultry, simmer, stew"
2019-02-11T00:00:00Z,Shrimp and White Beans With Fennel and Pancetta,"This quick, one-pan meal relies heavily on pantry staples. Browning pancetta or bacon adds richness to the tomato sauce, but skip it if you like. Anise-flavored fennel and seeds are incorporated into the soffritto, which plays nicely with the sweetness of the shrimp and the creaminess of the beans. But if you don’t like them, leave them out. Serve the dish in deep bowls with thick slices of garlic-rubbed toast, finish the dish with a flurry of fresh herbs, and pair it with a glass of something red, light and bright.",,,https://cooking.nytimes.com/recipes/1020010-shrimp-and-white-beans-with-fennel-and-pancetta,,,Colu Henry,recipe,,Recipe,0,,"dinner, fennel, for two, main course, pancetta, partial-access-ic, seafood, shrimp, weeknight, white bean"
2019-06-26T00:00:00Z,Beef Suya,"Suya is a popular Nigerian street food made of thin strips of meat that are seasoned, skewered and grilled. The term “suya” can refer to the preparation technique or the resulting dish, and can apply to other meats, such as goat and chicken. This recipe is similar in style to the suya made from a fattier cut of beef called tozo, which comes from the hump of the zebu cattle, found in northern Nigeria. A well-marbled piece of boneless short rib is a great substitute. Ask your butcher to thinly slice the meat into strips, or pop it into your freezer for 30 minutes and use a sharp knife to slice. Suya spice, or yaji, is available online or at African groceries, or you can make your own (see Tip).",,,https://cooking.nytimes.com/recipes/1020289-beef-suya,,,Yewande Komolafe,recipe,,Recipe,0,,"barbecues, cooking 101, dinner, finger foods, grill, kwanzaa, main course, meat, nigerian, peanut, short rib, skewers and kebabs, suya spice blend"
2020-07-02T21:22:22Z,Issue Archive,Past issues of The New York Times Magazine.,Past issues of The New York Times Magazine.,,https://www.nytimes.com/interactive/2020/07/02/magazine/past-issues-sunday-magazine.html,Magazine,,,interactive,,Interactive Feature,0,The New York Times,
2020-06-02T15:10:38Z,What Is the Insurrection Act of 1807?,Legal experts regard the act as a major exception to the law that generally forbids the use of the military for domestic law enforcement.,Legal experts regard the act as a major exception to the law that generally forbids the use of the military for domestic law enforcement.,,https://www.nytimes.com/article/what-is-insurrection-act.html,U.S.,Politics,By Christine Hauser and William Lamb,article,Express,News,839,The New York Times,"Insurrection Act (1807), United States Defense and Military Forces, Law and Legislation, Demonstrations, Protests and Riots, Posse Comitatus Act (1878), United States Politics and Government, Trump, Donald J, United States, Presidents and Presidency (US)"
2020-09-04T22:45:47Z,The 30 Best TV Shows on Netflix Right Now,"Some of the best shows on the streaming giant right now include “Adolescence,” “Stranger Things” and “The Beast in Me.” Here are our favorites.","Some of the best shows on the streaming giant right now include “Adolescence,” “Stranger Things” and “The Beast in Me.” Here are our favorites.",,https://www.nytimes.com/article/best-tv-shows-netflix.html,Arts,Television,By Noel Murray,article,Culture,News,3945,The New York Times,"Television, Netflix Inc"
2020-09-11T19:36:24Z,The Best Movies and Shows on Hulu Right Now,We’ve handpicked the finest movies and television shows currently streaming on Hulu in the United States. Take a look.,We’ve handpicked the finest movies and television shows currently streaming on Hulu in the United States. Take a look.,,https://www.nytimes.com/article/best-movies-shows-hulu.html,Movies,,By Jason Bailey,article,Culture,News,6569,The New York Times,"Television, Movies, Hulu.com"
2021-05-18T15:38:01Z,The Guantánamo Docket,"Since 2002, roughly 780 detainees have been held at the American military prison at Guantánamo Bay, Cuba. Fifteen remain.","Since 2002, roughly 780 detainees have been held at the American military prison at Guantánamo Bay, Cuba. Fifteen remain.",,https://www.nytimes.com/interactive/2021/us/guantanamo-bay-detainees.html,U.S.,,By The New York Times,interactive,,Interactive Feature,0,The New York Times,"Guantanamo Bay Naval Base (Cuba), Detainees"
2021-11-04T19:46:03Z,Ask Wirecutter: Sharing a Bed,A reader asks how to share a bed with a partner who runs hot.,A reader asks how to share a bed with a partner who runs hot.,,https://www.nytimes.com/interactive/2021/11/04/smarter-living/wirecutter/sharing-bed.html,Smarter Living,Wirecutter,By Annemarie Conte,interactive,,Interactive Feature,0,The New York Times,"Sleep, Content Type: Service"
2021-06-16T16:30:04Z,‘The Ezra Klein Show’ Book Recommendations,Readings that the podcast’s guests say shaped their thinking.,Readings that the podcast’s guests say shaped their thinking.,,https://www.nytimes.com/article/ezra-klein-show-book-recs.html,Opinion,,,article,OpEd,Op-Ed,332,The New York Times,"Content Type: Service, Books and Literature"
2021-04-21T17:00:00Z,Biden’s Plan to End Afghanistan War Gives Some Detainees Hope for Release,The legal basis for indefinite detention at Guantánamo is to prevent combatants from returning to the battlefield. But what if their old battlefield is no more?,The legal basis for indefinite detention at Guantánamo is to prevent combatants from returning to the battlefield. But what if their old battlefield is no more?,,https://www.nytimes.com/2021/04/21/us/politics/afghanistan-war-guantanamo-prison.html,U.S.,Politics,By Charlie Savage and Carol Rosenberg,article,Washington,News,1373,The New York Times,"Guantanamo Bay Naval Base (Cuba), Terrorism, Detainees, Afghanistan War (2001- ), United States Politics and Government, United States Defense and Military Forces, Al Qaeda, Defense Department, Taliban, Biden, Joseph R Jr, Haroon Gul, Asadullah, Rahim, Muhammad (1965- )"
2021-07-15T19:23:26Z,Broadway Shows to See This Winter: ‘Ragtime’ and More,"A guide to every show on Broadway, including Tony-winning musicals, new dramas, quirky hits and veterans like “Hamilton.”","A guide to every show on Broadway, including Tony-winning musicals, new dramas, quirky hits and veterans like “Hamilton.”",,https://www.nytimes.com/article/broadway-shows-musicals.html,Theater,,By Laura Collins-Hughes,article,Weekend,News,2219,The New York Times,"Theater, Theater (Broadway), Music, New York City, Actors and Actresses, Pop and Rock Music"
2021-02-25T02:55:04Z,"As Black History Month Turns 100, a Look Back at How It Began",Black History Month has been celebrated in the United States for close to 100 years but what is it exactly and how did it begin?,Black History Month has been celebrated in the United States for close to 100 years but what is it exactly and how did it begin?,,https://www.nytimes.com/interactive/2025/us/history-of-black-history-month.html,U.S.,,By Veronica Chambers and Jamiel Law,interactive,,Interactive Feature,1543,The New York Times,"Black History Continued 2021, Black People, United States, Woodson, Carter G, Civil Rights Movement (1954-68), United States Politics and Government"
2021-01-22T00:00:00Z,Coconut Curry Fish,"Jamaican curry powder plays a major role in this deeply savory weeknight dish, giving the sauce its unique flavor and golden hue. The traditional spice blend is heavy on the turmeric, and benefits from being toasted, which brings out its notes. This recipe calls for frozen whiting, which doesn’t hold up to frying but shines here, simmered in a sauce studded with red and green bell peppers. If whiting is unavailable, cod is also a good choice.",,,https://cooking.nytimes.com/recipes/1021534-coconut-curry-fish,,,Millie Peartree,recipe,,Recipe,0,,"caribbean, cooking 101, curry powder, dinner, frozen fish, green bell pepper, kwanzaa, main course, partial-access-ic, red bell pepper, seafood, weeknight"
2022-04-07T17:42:16Z,"Wordle Bot: Your Daily, Personalized Wordle Score","First, play today’s Wordle. Then come here.","First, play today’s Wordle. Then come here.",,https://www.nytimes.com/interactive/2022/upshot/wordle-bot.html,The Upshot,,By Josh Katz and Matthew Conlen,interactive,,Interactive Feature,0,The New York Times,"Wordle (Puzzle), Games, Statistics"
2022-08-22T13:55:03Z,Track Wildfires in the U.S.,See where wildfires are currently burning throughout the continental United States.,See where wildfires are currently burning throughout the continental United States.,,https://www.nytimes.com/interactive/2025/us/wildfire-map-tracker.html,U.S.,,"By Matthew Bloch, Josh Williams, Rumsey Taylor, Tim Wallace, John-Michael Murphy and Tiff Fehr",interactive,Graphics,Interactive Feature,0,The New York Times,Wildfires
2022-09-16T06:55:01Z,September 2022 Times/Siena Poll: Cross-Tabs for All Respondents,"Responses from a survey of registered voters conducted by The New York Times and Siena College Sept. 6 to 14, 2022.","Responses from a survey of registered voters conducted by The New York Times and Siena College Sept. 6 to 14, 2022.",,https://www.nytimes.com/interactive/2022/09/16/upshot/september-2022-times-siena-poll-crosstabs.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,
2022-02-24T01:12:37Z,How Much Snow Will Fall Where You Live?,Type in your community to see the full range of possibilities in the next few days.,Type in your community to see the full range of possibilities in the next few days.,,https://www.nytimes.com/interactive/2026/upshot/snow-forecast-totals-lookup.html,The Upshot,,"By Aatish Bhatia, Josh Katz, Margot Sanger-Katz and Samuel Jacoby",interactive,Upshot,Interactive Feature,0,The New York Times,"Snow and Snowstorms, Weather, National Weather Service, Statistics"
2022-07-12T17:52:36Z,Tracking Dangerous Heat in the U.S.,See detailed maps of the latest heat index forecasts in the United States.,See detailed maps of the latest heat index forecasts in the United States.,,https://www.nytimes.com/interactive/2022/us/heat-wave-map-tracker.html,U.S.,,"By Matthew Bloch, Lazaro Gamio, Zach Levitt, Eleanor Lutz, Bea Malsky and John-Michael Murphy",interactive,Weather,Interactive Feature,0,The New York Times,"Heat and Heat Waves, United States"
2022-06-30T19:02:25Z,How does The New York Times handle corrections?,Explaining the policies and processes that define our journalism.,Explaining the policies and processes that define our journalism.,,https://www.nytimes.com/article/new-york-times-corrections.html,Reader Center,,,article,Insider,News,227,The New York Times,"Newspapers, News and News Media, New York Times, Correction Stories"
2022-03-23T00:00:00Z,Hara Masala Murgh (Green Masala Chicken),"As is the case with every South Asian dish, variations of hara masala murgh abound. In the south of India, fresh desiccated coconut is used in place of yogurt, which is a common ingredient in the northern parts of Pakistan and India. The stalwarts of the dish across regions are copious amounts of fresh cilantro and mint — hence its name hara masala, which means green masala. In Lahore, it is commonly found on restaurant menus, and its peppery herbaceousness is a welcome reprieve from the tomato-onion gravies typical in Punjabi cooking. This version uses thinly sliced chicken breast. It also skips over the tedium of grinding almonds in favor of using almond butter. These two shortcuts mean a quicker cooking time and a creamy texture.",,,https://cooking.nytimes.com/recipes/1023054-hara-masala-murgh-green-masala-chicken,,,Zainab Shah,recipe,,Recipe,0,,"chicken breast, cilantro, dinner, indian, main course, mint, poultry, weeknight, yogurt"
2022-01-07T19:48:38Z,22 One-Pot Vegetarian Recipes That Keep Effort to a Minimum,Resolve to wash fewer dishes in 2026.,Resolve to wash fewer dishes in 2026.,,https://cooking.nytimes.com/article/one-pot-vegetarian-recipes,Food,,By Tanya Sichynsky and Sharon Attia,article,Dining,NYT Cooking,1726,The New York Times,"Vegetarianism, Vegetables, Recipes, Content Type: Service"
